Class,CreatedAt,Count
ACTIVE,2019-05-20 06:00:00+00:00,191
ACTIVE,2019-05-20 09:00:00+00:00,475
ACTIVE,2019-05-20 12:00:00+00:00,457
ACTIVE,2019-05-20 15:00:00+00:00,574
ACTIVE,2019-05-20 18:00:00+00:00,672
ACTIVE,2019-05-20 21:00:00+00:00,215
ACTIVE,2019-05-21 00:00:00+00:00,37
ACTIVE,2019-05-21 03:00:00+00:00,124
ACTIVE,2019-05-21 06:00:00+00:00,408
ACTIVE,2019-05-21 09:00:00+00:00,607
ACTIVE,2019-05-21 12:00:00+00:00,506
ACTIVE,2019-05-21 15:00:00+00:00,509
ACTIVE,2019-05-21 18:00:00+00:00,662
ACTIVE,2019-05-21 21:00:00+00:00,229
ACTIVE,2019-05-22 00:00:00+00:00,31
ACTIVE,2019-05-22 03:00:00+00:00,174
ACTIVE,2019-05-22 06:00:00+00:00,486
ACTIVE,2019-05-22 09:00:00+00:00,777
ACTIVE,2019-05-22 12:00:00+00:00,609
ACTIVE,2019-05-22 15:00:00+00:00,601
ACTIVE,2019-05-22 18:00:00+00:00,821
ACTIVE,2019-05-22 21:00:00+00:00,316
ACTIVE,2019-05-23 00:00:00+00:00,59
ACTIVE,2019-05-23 03:00:00+00:00,201
ACTIVE,2019-05-23 06:00:00+00:00,631
ACTIVE,2019-05-23 09:00:00+00:00,640
ACTIVE,2019-05-23 12:00:00+00:00,460
ACTIVE,2019-05-23 15:00:00+00:00,557
ACTIVE,2019-05-23 18:00:00+00:00,830
ACTIVE,2019-05-23 21:00:00+00:00,263
ACTIVE,2019-05-24 00:00:00+00:00,41
ACTIVE,2019-05-24 03:00:00+00:00,155
ACTIVE,2019-05-24 06:00:00+00:00,566
ACTIVE,2019-05-24 09:00:00+00:00,738
ACTIVE,2019-05-24 12:00:00+00:00,928
ACTIVE,2019-05-24 15:00:00+00:00,695
ACTIVE,2019-05-24 18:00:00+00:00,879
ACTIVE,2019-05-24 21:00:00+00:00,495
ACTIVE,2019-05-25 00:00:00+00:00,59
ACTIVE,2019-05-25 03:00:00+00:00,194
ACTIVE,2019-05-25 06:00:00+00:00,669
ACTIVE,2019-05-25 09:00:00+00:00,731
ACTIVE,2019-05-25 12:00:00+00:00,668
ACTIVE,2019-05-25 15:00:00+00:00,796
ACTIVE,2019-05-25 18:00:00+00:00,707
ACTIVE,2019-05-25 21:00:00+00:00,361
ACTIVE,2019-05-26 00:00:00+00:00,129
ACTIVE,2019-05-26 03:00:00+00:00,320
ACTIVE,2019-05-26 06:00:00+00:00,1112
ACTIVE,2019-05-26 09:00:00+00:00,1757
ACTIVE,2019-05-26 12:00:00+00:00,1568
ACTIVE,2019-05-26 15:00:00+00:00,3903
ACTIVE,2019-05-26 18:00:00+00:00,5720
ACTIVE,2019-05-26 21:00:00+00:00,3921
ACTIVE,2019-05-27 00:00:00+00:00,390
ACTIVE,2019-05-27 03:00:00+00:00,887
ACTIVE,2019-05-27 06:00:00+00:00,1730
ACTIVE,2019-05-27 09:00:00+00:00,1554
ACTIVE,2019-05-27 12:00:00+00:00,1220
ACTIVE,2019-05-27 15:00:00+00:00,976
ACTIVE,2019-05-27 18:00:00+00:00,1066
ACTIVE,2019-05-27 21:00:00+00:00,402
ACTIVE,2019-05-28 00:00:00+00:00,64
ACTIVE,2019-05-28 03:00:00+00:00,280
ACTIVE,2019-05-28 06:00:00+00:00,630
ACTIVE,2019-05-28 09:00:00+00:00,740
ACTIVE,2019-05-28 12:00:00+00:00,1031
ACTIVE,2019-05-28 15:00:00+00:00,936
ACTIVE,2019-05-28 18:00:00+00:00,768
ACTIVE,2019-05-28 21:00:00+00:00,318
ACTIVE,2019-05-29 00:00:00+00:00,67
ACTIVE,2019-05-29 03:00:00+00:00,232
ACTIVE,2019-05-29 06:00:00+00:00,448
ACTIVE,2019-05-29 09:00:00+00:00,500
ACTIVE,2019-05-29 12:00:00+00:00,561
ACTIVE,2019-05-29 15:00:00+00:00,369
ACTIVE,2019-05-29 18:00:00+00:00,199
ACTIVE,2019-05-29 21:00:00+00:00,89
ACTIVE,2019-05-30 00:00:00+00:00,30
ACTIVE,2019-05-30 03:00:00+00:00,98
ACTIVE,2019-05-30 06:00:00+00:00,201
ACTIVE,2019-05-30 09:00:00+00:00,185
ACTIVE,2019-05-30 12:00:00+00:00,249
ACTIVE,2019-05-30 15:00:00+00:00,249
ACTIVE,2019-05-30 18:00:00+00:00,236
ACTIVE,2019-05-30 21:00:00+00:00,124
ACTIVE,2019-05-31 00:00:00+00:00,29
ACTIVE,2019-05-31 03:00:00+00:00,95
ACTIVE,2019-05-31 06:00:00+00:00,232
ACTIVE,2019-05-31 09:00:00+00:00,255
ACTIVE,2019-05-31 12:00:00+00:00,231
ACTIVE,2019-05-31 15:00:00+00:00,249
ACTIVE,2019-05-31 18:00:00+00:00,297
ACTIVE,2019-05-31 21:00:00+00:00,107
ACTIVE,2019-06-01 00:00:00+00:00,17
ACTIVE,2019-06-01 03:00:00+00:00,67
ACTIVE,2019-06-01 06:00:00+00:00,209
ACTIVE,2019-06-01 09:00:00+00:00,23
AMPLIFIER,2019-05-20 06:00:00+00:00,176
AMPLIFIER,2019-05-20 09:00:00+00:00,994
AMPLIFIER,2019-05-20 12:00:00+00:00,884
AMPLIFIER,2019-05-20 15:00:00+00:00,922
AMPLIFIER,2019-05-20 18:00:00+00:00,1368
AMPLIFIER,2019-05-20 21:00:00+00:00,641
AMPLIFIER,2019-05-21 00:00:00+00:00,166
AMPLIFIER,2019-05-21 03:00:00+00:00,353
AMPLIFIER,2019-05-21 06:00:00+00:00,743
AMPLIFIER,2019-05-21 09:00:00+00:00,1150
AMPLIFIER,2019-05-21 12:00:00+00:00,1285
AMPLIFIER,2019-05-21 15:00:00+00:00,1179
AMPLIFIER,2019-05-21 18:00:00+00:00,1502
AMPLIFIER,2019-05-21 21:00:00+00:00,675
AMPLIFIER,2019-05-22 00:00:00+00:00,104
AMPLIFIER,2019-05-22 03:00:00+00:00,572
AMPLIFIER,2019-05-22 06:00:00+00:00,969
AMPLIFIER,2019-05-22 09:00:00+00:00,1591
AMPLIFIER,2019-05-22 12:00:00+00:00,1306
AMPLIFIER,2019-05-22 15:00:00+00:00,1240
AMPLIFIER,2019-05-22 18:00:00+00:00,2268
AMPLIFIER,2019-05-22 21:00:00+00:00,953
AMPLIFIER,2019-05-23 00:00:00+00:00,191
AMPLIFIER,2019-05-23 03:00:00+00:00,456
AMPLIFIER,2019-05-23 06:00:00+00:00,1275
AMPLIFIER,2019-05-23 09:00:00+00:00,1263
AMPLIFIER,2019-05-23 12:00:00+00:00,1315
AMPLIFIER,2019-05-23 15:00:00+00:00,1310
AMPLIFIER,2019-05-23 18:00:00+00:00,1829
AMPLIFIER,2019-05-23 21:00:00+00:00,692
AMPLIFIER,2019-05-24 00:00:00+00:00,113
AMPLIFIER,2019-05-24 03:00:00+00:00,500
AMPLIFIER,2019-05-24 06:00:00+00:00,1123
AMPLIFIER,2019-05-24 09:00:00+00:00,1613
AMPLIFIER,2019-05-24 12:00:00+00:00,1648
AMPLIFIER,2019-05-24 15:00:00+00:00,1501
AMPLIFIER,2019-05-24 18:00:00+00:00,2852
AMPLIFIER,2019-05-24 21:00:00+00:00,1081
AMPLIFIER,2019-05-25 00:00:00+00:00,239
AMPLIFIER,2019-05-25 03:00:00+00:00,622
AMPLIFIER,2019-05-25 06:00:00+00:00,1234
AMPLIFIER,2019-05-25 09:00:00+00:00,1613
AMPLIFIER,2019-05-25 12:00:00+00:00,1576
AMPLIFIER,2019-05-25 15:00:00+00:00,1721
AMPLIFIER,2019-05-25 18:00:00+00:00,2079
AMPLIFIER,2019-05-25 21:00:00+00:00,1057
AMPLIFIER,2019-05-26 00:00:00+00:00,551
AMPLIFIER,2019-05-26 03:00:00+00:00,719
AMPLIFIER,2019-05-26 06:00:00+00:00,2006
AMPLIFIER,2019-05-26 09:00:00+00:00,3193
AMPLIFIER,2019-05-26 12:00:00+00:00,3360
AMPLIFIER,2019-05-26 15:00:00+00:00,7200
AMPLIFIER,2019-05-26 18:00:00+00:00,11359
AMPLIFIER,2019-05-26 21:00:00+00:00,8067
AMPLIFIER,2019-05-27 00:00:00+00:00,1166
AMPLIFIER,2019-05-27 03:00:00+00:00,1826
AMPLIFIER,2019-05-27 06:00:00+00:00,3561
AMPLIFIER,2019-05-27 09:00:00+00:00,3089
AMPLIFIER,2019-05-27 12:00:00+00:00,2825
AMPLIFIER,2019-05-27 15:00:00+00:00,2184
AMPLIFIER,2019-05-27 18:00:00+00:00,2559
AMPLIFIER,2019-05-27 21:00:00+00:00,962
AMPLIFIER,2019-05-28 00:00:00+00:00,185
AMPLIFIER,2019-05-28 03:00:00+00:00,665
AMPLIFIER,2019-05-28 06:00:00+00:00,1493
AMPLIFIER,2019-05-28 09:00:00+00:00,1632
AMPLIFIER,2019-05-28 12:00:00+00:00,2209
AMPLIFIER,2019-05-28 15:00:00+00:00,1685
AMPLIFIER,2019-05-28 18:00:00+00:00,1837
AMPLIFIER,2019-05-28 21:00:00+00:00,836
AMPLIFIER,2019-05-29 00:00:00+00:00,137
AMPLIFIER,2019-05-29 03:00:00+00:00,590
AMPLIFIER,2019-05-29 06:00:00+00:00,1078
AMPLIFIER,2019-05-29 09:00:00+00:00,1170
AMPLIFIER,2019-05-29 12:00:00+00:00,1136
AMPLIFIER,2019-05-29 15:00:00+00:00,1025
AMPLIFIER,2019-05-29 18:00:00+00:00,541
AMPLIFIER,2019-05-29 21:00:00+00:00,230
AMPLIFIER,2019-05-30 00:00:00+00:00,90
AMPLIFIER,2019-05-30 03:00:00+00:00,228
AMPLIFIER,2019-05-30 06:00:00+00:00,551
AMPLIFIER,2019-05-30 09:00:00+00:00,434
AMPLIFIER,2019-05-30 12:00:00+00:00,554
AMPLIFIER,2019-05-30 15:00:00+00:00,513
AMPLIFIER,2019-05-30 18:00:00+00:00,598
AMPLIFIER,2019-05-30 21:00:00+00:00,299
AMPLIFIER,2019-05-31 00:00:00+00:00,57
AMPLIFIER,2019-05-31 03:00:00+00:00,220
AMPLIFIER,2019-05-31 06:00:00+00:00,449
AMPLIFIER,2019-05-31 09:00:00+00:00,479
AMPLIFIER,2019-05-31 12:00:00+00:00,593
AMPLIFIER,2019-05-31 15:00:00+00:00,654
AMPLIFIER,2019-05-31 18:00:00+00:00,712
AMPLIFIER,2019-05-31 21:00:00+00:00,326
AMPLIFIER,2019-06-01 00:00:00+00:00,54
AMPLIFIER,2019-06-01 03:00:00+00:00,236
AMPLIFIER,2019-06-01 06:00:00+00:00,470
AMPLIFIER,2019-06-01 09:00:00+00:00,52
INFLUENCER,2019-05-20 06:00:00+00:00,21
INFLUENCER,2019-05-20 09:00:00+00:00,144
INFLUENCER,2019-05-20 12:00:00+00:00,122
INFLUENCER,2019-05-20 15:00:00+00:00,132
INFLUENCER,2019-05-20 18:00:00+00:00,142
INFLUENCER,2019-05-20 21:00:00+00:00,54
INFLUENCER,2019-05-21 00:00:00+00:00,4
INFLUENCER,2019-05-21 03:00:00+00:00,51
INFLUENCER,2019-05-21 06:00:00+00:00,139
INFLUENCER,2019-05-21 09:00:00+00:00,169
INFLUENCER,2019-05-21 12:00:00+00:00,153
INFLUENCER,2019-05-21 15:00:00+00:00,125
INFLUENCER,2019-05-21 18:00:00+00:00,134
INFLUENCER,2019-05-21 21:00:00+00:00,35
INFLUENCER,2019-05-22 00:00:00+00:00,6
INFLUENCER,2019-05-22 03:00:00+00:00,57
INFLUENCER,2019-05-22 06:00:00+00:00,144
INFLUENCER,2019-05-22 09:00:00+00:00,178
INFLUENCER,2019-05-22 12:00:00+00:00,180
INFLUENCER,2019-05-22 15:00:00+00:00,146
INFLUENCER,2019-05-22 18:00:00+00:00,241
INFLUENCER,2019-05-22 21:00:00+00:00,54
INFLUENCER,2019-05-23 00:00:00+00:00,6
INFLUENCER,2019-05-23 03:00:00+00:00,116
INFLUENCER,2019-05-23 06:00:00+00:00,185
INFLUENCER,2019-05-23 09:00:00+00:00,140
INFLUENCER,2019-05-23 12:00:00+00:00,177
INFLUENCER,2019-05-23 15:00:00+00:00,164
INFLUENCER,2019-05-23 18:00:00+00:00,218
INFLUENCER,2019-05-23 21:00:00+00:00,40
INFLUENCER,2019-05-24 00:00:00+00:00,4
INFLUENCER,2019-05-24 03:00:00+00:00,95
INFLUENCER,2019-05-24 06:00:00+00:00,216
INFLUENCER,2019-05-24 09:00:00+00:00,196
INFLUENCER,2019-05-24 12:00:00+00:00,209
INFLUENCER,2019-05-24 15:00:00+00:00,169
INFLUENCER,2019-05-24 18:00:00+00:00,243
INFLUENCER,2019-05-24 21:00:00+00:00,48
INFLUENCER,2019-05-25 00:00:00+00:00,14
INFLUENCER,2019-05-25 03:00:00+00:00,50
INFLUENCER,2019-05-25 06:00:00+00:00,143
INFLUENCER,2019-05-25 09:00:00+00:00,152
INFLUENCER,2019-05-25 12:00:00+00:00,178
INFLUENCER,2019-05-25 15:00:00+00:00,159
INFLUENCER,2019-05-25 18:00:00+00:00,136
INFLUENCER,2019-05-25 21:00:00+00:00,64
INFLUENCER,2019-05-26 00:00:00+00:00,9
INFLUENCER,2019-05-26 03:00:00+00:00,99
INFLUENCER,2019-05-26 06:00:00+00:00,237
INFLUENCER,2019-05-26 09:00:00+00:00,379
INFLUENCER,2019-05-26 12:00:00+00:00,336
INFLUENCER,2019-05-26 15:00:00+00:00,840
INFLUENCER,2019-05-26 18:00:00+00:00,1039
INFLUENCER,2019-05-26 21:00:00+00:00,456
INFLUENCER,2019-05-27 00:00:00+00:00,39
INFLUENCER,2019-05-27 03:00:00+00:00,179
INFLUENCER,2019-05-27 06:00:00+00:00,332
INFLUENCER,2019-05-27 09:00:00+00:00,244
INFLUENCER,2019-05-27 12:00:00+00:00,193
INFLUENCER,2019-05-27 15:00:00+00:00,206
INFLUENCER,2019-05-27 18:00:00+00:00,150
INFLUENCER,2019-05-27 21:00:00+00:00,48
INFLUENCER,2019-05-28 00:00:00+00:00,7
INFLUENCER,2019-05-28 03:00:00+00:00,57
INFLUENCER,2019-05-28 06:00:00+00:00,149
INFLUENCER,2019-05-28 09:00:00+00:00,166
INFLUENCER,2019-05-28 12:00:00+00:00,163
INFLUENCER,2019-05-28 15:00:00+00:00,151
INFLUENCER,2019-05-28 18:00:00+00:00,139
INFLUENCER,2019-05-28 21:00:00+00:00,26
INFLUENCER,2019-05-29 00:00:00+00:00,7
INFLUENCER,2019-05-29 03:00:00+00:00,64
INFLUENCER,2019-05-29 06:00:00+00:00,108
INFLUENCER,2019-05-29 09:00:00+00:00,106
INFLUENCER,2019-05-29 12:00:00+00:00,99
INFLUENCER,2019-05-29 15:00:00+00:00,92
INFLUENCER,2019-05-29 18:00:00+00:00,70
INFLUENCER,2019-05-29 21:00:00+00:00,10
INFLUENCER,2019-05-30 00:00:00+00:00,2
