Type,CreatedAt,Count
QUOTE,2019-05-20 06:00:00+00:00,6
QUOTE,2019-05-20 09:00:00+00:00,45
QUOTE,2019-05-20 12:00:00+00:00,54
QUOTE,2019-05-20 15:00:00+00:00,44
QUOTE,2019-05-20 18:00:00+00:00,36
QUOTE,2019-05-20 21:00:00+00:00,16
QUOTE,2019-05-21 00:00:00+00:00,2
QUOTE,2019-05-21 03:00:00+00:00,11
QUOTE,2019-05-21 06:00:00+00:00,29
QUOTE,2019-05-21 09:00:00+00:00,37
QUOTE,2019-05-21 12:00:00+00:00,49
QUOTE,2019-05-21 15:00:00+00:00,37
QUOTE,2019-05-21 18:00:00+00:00,88
QUOTE,2019-05-21 21:00:00+00:00,38
QUOTE,2019-05-22 00:00:00+00:00,3
QUOTE,2019-05-22 03:00:00+00:00,18
QUOTE,2019-05-22 06:00:00+00:00,50
QUOTE,2019-05-22 09:00:00+00:00,105
QUOTE,2019-05-22 12:00:00+00:00,89
QUOTE,2019-05-22 15:00:00+00:00,88
QUOTE,2019-05-22 18:00:00+00:00,110
QUOTE,2019-05-22 21:00:00+00:00,45
QUOTE,2019-05-23 00:00:00+00:00,2
QUOTE,2019-05-23 03:00:00+00:00,24
QUOTE,2019-05-23 06:00:00+00:00,69
QUOTE,2019-05-23 09:00:00+00:00,73
QUOTE,2019-05-23 12:00:00+00:00,65
QUOTE,2019-05-23 15:00:00+00:00,60
QUOTE,2019-05-23 18:00:00+00:00,70
QUOTE,2019-05-23 21:00:00+00:00,41
QUOTE,2019-05-24 00:00:00+00:00,3
QUOTE,2019-05-24 03:00:00+00:00,16
QUOTE,2019-05-24 06:00:00+00:00,63
QUOTE,2019-05-24 09:00:00+00:00,101
QUOTE,2019-05-24 12:00:00+00:00,102
QUOTE,2019-05-24 15:00:00+00:00,68
QUOTE,2019-05-24 18:00:00+00:00,79
QUOTE,2019-05-24 21:00:00+00:00,41
QUOTE,2019-05-25 00:00:00+00:00,11
QUOTE,2019-05-25 03:00:00+00:00,18
QUOTE,2019-05-25 06:00:00+00:00,82
QUOTE,2019-05-25 09:00:00+00:00,98
QUOTE,2019-05-25 12:00:00+00:00,124
QUOTE,2019-05-25 15:00:00+00:00,172
QUOTE,2019-05-25 18:00:00+00:00,107
QUOTE,2019-05-25 21:00:00+00:00,60
QUOTE,2019-05-26 00:00:00+00:00,8
QUOTE,2019-05-26 03:00:00+00:00,42
QUOTE,2019-05-26 06:00:00+00:00,192
QUOTE,2019-05-26 09:00:00+00:00,319
QUOTE,2019-05-26 12:00:00+00:00,526
QUOTE,2019-05-26 15:00:00+00:00,681
QUOTE,2019-05-26 18:00:00+00:00,784
QUOTE,2019-05-26 21:00:00+00:00,575
QUOTE,2019-05-27 00:00:00+00:00,68
QUOTE,2019-05-27 03:00:00+00:00,117
QUOTE,2019-05-27 06:00:00+00:00,296
QUOTE,2019-05-27 09:00:00+00:00,259
QUOTE,2019-05-27 12:00:00+00:00,221
QUOTE,2019-05-27 15:00:00+00:00,163
QUOTE,2019-05-27 18:00:00+00:00,183
QUOTE,2019-05-27 21:00:00+00:00,79
QUOTE,2019-05-28 00:00:00+00:00,16
QUOTE,2019-05-28 03:00:00+00:00,52
QUOTE,2019-05-28 06:00:00+00:00,97
QUOTE,2019-05-28 09:00:00+00:00,141
QUOTE,2019-05-28 12:00:00+00:00,170
QUOTE,2019-05-28 15:00:00+00:00,153
QUOTE,2019-05-28 18:00:00+00:00,143
QUOTE,2019-05-28 21:00:00+00:00,69
QUOTE,2019-05-29 00:00:00+00:00,11
QUOTE,2019-05-29 03:00:00+00:00,34
QUOTE,2019-05-29 06:00:00+00:00,72
QUOTE,2019-05-29 09:00:00+00:00,104
QUOTE,2019-05-29 12:00:00+00:00,89
QUOTE,2019-05-29 15:00:00+00:00,54
QUOTE,2019-05-29 18:00:00+00:00,10
QUOTE,2019-05-29 21:00:00+00:00,6
QUOTE,2019-05-30 00:00:00+00:00,3
QUOTE,2019-05-30 03:00:00+00:00,4
QUOTE,2019-05-30 06:00:00+00:00,12
QUOTE,2019-05-30 09:00:00+00:00,12
QUOTE,2019-05-30 12:00:00+00:00,15
QUOTE,2019-05-30 15:00:00+00:00,14
QUOTE,2019-05-30 18:00:00+00:00,9
QUOTE,2019-05-30 21:00:00+00:00,6
QUOTE,2019-05-31 00:00:00+00:00,1
QUOTE,2019-05-31 03:00:00+00:00,7
QUOTE,2019-05-31 06:00:00+00:00,7
QUOTE,2019-05-31 09:00:00+00:00,9
QUOTE,2019-05-31 12:00:00+00:00,13
QUOTE,2019-05-31 15:00:00+00:00,12
QUOTE,2019-05-31 18:00:00+00:00,9
QUOTE,2019-05-31 21:00:00+00:00,5
QUOTE,2019-06-01 00:00:00+00:00,0
QUOTE,2019-06-01 03:00:00+00:00,1
QUOTE,2019-06-01 06:00:00+00:00,9
QUOTE,2019-06-01 09:00:00+00:00,1
REPLY,2019-05-20 06:00:00+00:00,40
REPLY,2019-05-20 09:00:00+00:00,246
REPLY,2019-05-20 12:00:00+00:00,200
REPLY,2019-05-20 15:00:00+00:00,258
REPLY,2019-05-20 18:00:00+00:00,378
REPLY,2019-05-20 21:00:00+00:00,149
REPLY,2019-05-21 00:00:00+00:00,32
REPLY,2019-05-21 03:00:00+00:00,135
REPLY,2019-05-21 06:00:00+00:00,245
REPLY,2019-05-21 09:00:00+00:00,365
REPLY,2019-05-21 12:00:00+00:00,358
REPLY,2019-05-21 15:00:00+00:00,358
REPLY,2019-05-21 18:00:00+00:00,389
REPLY,2019-05-21 21:00:00+00:00,170
REPLY,2019-05-22 00:00:00+00:00,38
