Type,CreatedAt,Count
QUOTE,2007-01-31 00:00:00+00:00,2
QUOTE,2007-02-28 00:00:00+00:00,0
QUOTE,2007-03-31 00:00:00+00:00,0
QUOTE,2007-04-30 00:00:00+00:00,0
QUOTE,2007-05-31 00:00:00+00:00,1
QUOTE,2007-06-30 00:00:00+00:00,1
QUOTE,2007-07-31 00:00:00+00:00,0
QUOTE,2007-08-31 00:00:00+00:00,2
QUOTE,2007-09-30 00:00:00+00:00,0
QUOTE,2007-10-31 00:00:00+00:00,7
QUOTE,2007-11-30 00:00:00+00:00,1
QUOTE,2007-12-31 00:00:00+00:00,5
QUOTE,2008-01-31 00:00:00+00:00,2
QUOTE,2008-02-29 00:00:00+00:00,4
QUOTE,2008-03-31 00:00:00+00:00,3
QUOTE,2008-04-30 00:00:00+00:00,12
QUOTE,2008-05-31 00:00:00+00:00,9
QUOTE,2008-06-30 00:00:00+00:00,6
QUOTE,2008-07-31 00:00:00+00:00,2
QUOTE,2008-08-31 00:00:00+00:00,1
QUOTE,2008-09-30 00:00:00+00:00,0
QUOTE,2008-10-31 00:00:00+00:00,5
QUOTE,2008-11-30 00:00:00+00:00,24
QUOTE,2008-12-31 00:00:00+00:00,28
QUOTE,2009-01-31 00:00:00+00:00,26
QUOTE,2009-02-28 00:00:00+00:00,75
QUOTE,2009-03-31 00:00:00+00:00,106
QUOTE,2009-04-30 00:00:00+00:00,155
QUOTE,2009-05-31 00:00:00+00:00,93
QUOTE,2009-06-30 00:00:00+00:00,59
QUOTE,2009-07-31 00:00:00+00:00,54
QUOTE,2009-08-31 00:00:00+00:00,49
QUOTE,2009-09-30 00:00:00+00:00,90
QUOTE,2009-10-31 00:00:00+00:00,12
QUOTE,2009-11-30 00:00:00+00:00,45
QUOTE,2009-12-31 00:00:00+00:00,42
QUOTE,2010-01-31 00:00:00+00:00,123
QUOTE,2010-02-28 00:00:00+00:00,165
QUOTE,2010-03-31 00:00:00+00:00,51
QUOTE,2010-04-30 00:00:00+00:00,31
QUOTE,2010-05-31 00:00:00+00:00,59
QUOTE,2010-06-30 00:00:00+00:00,26
QUOTE,2010-07-31 00:00:00+00:00,19
QUOTE,2010-08-31 00:00:00+00:00,37
QUOTE,2010-09-30 00:00:00+00:00,62
QUOTE,2010-10-31 00:00:00+00:00,37
QUOTE,2010-11-30 00:00:00+00:00,39
QUOTE,2010-12-31 00:00:00+00:00,28
QUOTE,2011-01-31 00:00:00+00:00,59
QUOTE,2011-02-28 00:00:00+00:00,81
QUOTE,2011-03-31 00:00:00+00:00,70
QUOTE,2011-04-30 00:00:00+00:00,41
QUOTE,2011-05-31 00:00:00+00:00,93
QUOTE,2011-06-30 00:00:00+00:00,162
QUOTE,2011-07-31 00:00:00+00:00,122
QUOTE,2011-08-31 00:00:00+00:00,77
QUOTE,2011-09-30 00:00:00+00:00,72
QUOTE,2011-10-31 00:00:00+00:00,117
QUOTE,2011-11-30 00:00:00+00:00,144
QUOTE,2011-12-31 00:00:00+00:00,50
QUOTE,2012-01-31 00:00:00+00:00,52
QUOTE,2012-02-29 00:00:00+00:00,115
QUOTE,2012-03-31 00:00:00+00:00,82
QUOTE,2012-04-30 00:00:00+00:00,121
QUOTE,2012-05-31 00:00:00+00:00,119
QUOTE,2012-06-30 00:00:00+00:00,25
